Zip Code,Lat,Long
92119,32.802959,-117.027095
92120,32.807867,-117.060993
92121,32.898613,-117.202937
92122,32.85723,-117.209774
92123,32.808814,-117.134694
92124,32.827238,-117.089287
92126,32.886925,-117.152162
92127,33.017518,-117.118456
92128,33.000269,-117.072093
92129,32.961064,-117.134917
92130,32.957195,-117.202542
92131,32.89325,-117.087091
92134,32.7242,-117.1466
92135,32.7153,-117.1573
92136,32.6834,-117.1219
92139,32.677716,-117.047666
92140,32.7434,-117.2004
92145,32.8891,-117.1005
92152,32.7153,-117.1573
92154,32.578103,-117.012975
92155,32.6716,-117.1657
92173,32.555828,-117.040073
92182,32.7751,-117.0762
92201,33.713891,-116.237257
92203,33.752938,-116.230055
92210,33.537646,-116.291089
92211,33.762759,-116.324817
92220,33.936298,-116.849577
92223,33.946982,-116.977672
92225,33.674583,-114.71612
92227,33.03933,-115.191857
92230,33.929812,-116.76058
92231,32.690654,-115.431225
92233,33.143826,-115.497485
92234,33.829583,-116.474131
92236,33.680031,-116.171678
92239,33.889605,-115.257009
92240,33.948558,-116.516976
92241,33.832799,-116.250973
92242,34.137742,-114.36514
92243,32.770393,-115.60915
92249,32.730583,-115.501083
92250,32.811001,-115.152865
92251,32.858595,-115.662709
92252,34.167236,-116.281511
92253,33.695532,-116.310571
92254,33.543835,-115.993906
92256,34.097863,-116.594561
92257,33.345825,-115.596574
92258,33.906496,-116.569499
92259,32.698964,-115.886656
92260,33.694501,-116.412711
92262,33.839989,-116.659215
92264,33.745746,-116.514215
92267,34.273872,-114.192901
92270,33.763678,-116.429928
92274,33.53604,-116.119222
92276,33.849263,-116.382778
92277,34.17211,-115.769773
92278,34.457829,-116.139589
92280,34.264124,-114.717964
92281,33.03679,-115.60503
92282,33.972293,-116.654195
92283,32.852947,-114.850784
92284,34.159534,-116.425984
92285,34.341737,-116.539416
92301,34.667815,-117.536183
92304,34.559882,-115.637164
92305,34.1678,-116.86433
92307,34.55082,-117.122396
92308,34.424926,-117.184503
92309,35.28952,-116.092214
92310,35.349241,-116.770281
92311,34.965648,-117.001509
92313,34.029175,-117.307211
92314,34.278967,-116.773825
92315,34.242058,-116.89802
92316,34.059722,-117.39104
92317,34.2112,-117.0796
92318,34.0483,-117.2309
92320,33.982787,-117.057627
92321,34.255203,-117.175654
92322,34.2544,-117.3265
92324,34.030915,-117.273201
92325,34.248061,-117.29028
92327,34.875144,-116.821698
92328,36.27688,-117.033326
92332,34.9436,-115.287901
92333,34.274846,-116.937581
92335,34.087558,-117.464096
